id	artist	mbid
1	Megadeth	a9044915-8be3-4c7e-b11f-9e2d2ea0a91e
2	Lil Wayne	ac9a487a-d9d2-4f27-bb23-0f4686488345
3	Foo Fighters	67f66c07-6e61-4026-ade5-7e782fad3a5d
4	Porcupine Tree	169c4c28-858e-497b-81a4-8bc15e0026ea
7	Dream Theater	28503ab7-8bf2-4666-a7bd-2644bfc7cb1d
8	Amon Amarth	5b687684-ad34-4a9f-b425-0e7aa81fbd38
9	Coma	fdae171f-b949-421b-b083-296c34c94575
10	Orchestral Manoeuvres in the Dark	6d072aa8-c851-49c5-92f9-cbca05f4bed9
11	a-ha	7364dea6-ca9a-48e3-be01-b44ad0d19897
12	Alter Bridge	60a23fda-a440-4ab9-a344-7dfdd2ed341a
13	Limp Bizkit	8f9d6bb2-dba4-4cca-9967-cc02b9f4820c
14	3 Inches of Blood	ba85753c-671a-409e-b813-1e3be41e2a2e
16	David Bowie	5441c29d-3602-4898-b1a1-b77fa23b8e50
17	Hey	d24c555c-318d-4fa3-bcf9-a250475cf0af
18	Faith No More	b15ebd71-a252-417d-9e1c-3e6863da68f8
19	Riverside	f554c686-ead0-42ef-9deb-3a42f7199196
20	Blackfield	8e67406d-de61-4e6b-a2a1-5a3725484527
21	Anastacia	d3b2bec4-b70e-460e-b433-a865ceac2de8
24	Pure Reason Revolution	f443a331-2623-4d50-8797-bfb204850253
25	God Is An Astronaut	e9dfc148-d5f6-425e-b80b-f99ed2bd7c09
27	Red Hot Chili Peppers	8bfac288-ccc5-448d-9573-c33ea2aa5c30
28	Avril Lavigne	0103c1cc-4a09-4a5d-a344-56ad99a77193
29	Rage Against the Machine	3798b104-01cb-484c-a3b0-56adc6399b80
30	Steven Wilson	3a51b862-0144-40f6-aa17-6aaeefea29d9
31	Stevie Ray Vaughan	f5426431-f490-4678-ad44-a75c71097bb4
32	The xx	c5c2ea1c-4bde-4f4d-bd0b-47b200bf99d6
33	Arch Enemy	e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
34	Enslaved	aa486a81-b927-4aa9-83c4-7fbc91c3a8fa
36	Machine Head	ccd57217-fe4b-406d-8e20-567d25120338
37	Ozzy Osbourne	8aa5b65a-5b3c-4029-92bf-47a544356934
38	Kreator	39822e8d-f24e-4f07-b51b-28b22e59fbdb
39	Pidżama Porno	2645702c-97a3-45dd-b408-707362116101
40	Wintersun	c054ea6b-c585-41eb-ae7e-4b0ca43308ff
43	Slayer	bdacc37b-8633-4bf8-9dd5-4662ee651aec
44	Hurts	fcd954c7-f327-446f-87a3-2c4b242c6f38
45	The Kooks	f82f3a3e-29c2-42ca-b589-bc5dc210fa9e
46	Coldplay	cc197bad-dc9c-440d-a5b5-d52ba2e14234
47	TesseracT	f1ec4765-e5da-4591-8b50-a8ff9627dda8
48	Enigma	f1d1df24-91af-4d27-83a4-9b4ad29b37eb
49	Take That	24d2505b-388c-46cc-8a64-48223ea6d78d
51	Lamb of God	298909e4-ebcb-47b8-95e9-cc53b087fc65
52	Judas Priest	6b335658-22c8-485d-93de-0bc29a1d0349
54	Pink Floyd	83d91898-7763-47d7-b03b-b92132375c47
55	Metallica	65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab
56	Pantera	541f16f5-ad7a-428e-af89-9fa1b16d3c9c
57	Fall Out Boy	516cef4d-0718-4007-9939-f9b38af3f784
58	Lunatic Soul	dd5fcd94-3119-461e-9abc-04c0a8455a12
59	Children of Bodom	f57e14e4-b030-467c-b202-539453f504ec
60	Exodus	eddbc107-c3cd-446f-b6ad-b7ed277bf401
61	Rick Ross	3813b7cf-5550-42bb-a23f-3d6977f7943e
62	Frank Zappa	e20747e7-55a4-452e-8766-7b985585082d
63	Illusion	d801467e-f3e4-4a45-a980-0b2d8eebf618
64	Deep Purple	79491354-3d83-40e3-9d8e-7592d58d790a
66	Eagles	f46bd570-5768-462e-b84c-c7c993bbf47e
67	Anathema	649ce5ae-2bb9-441f-a4a2-ec2ba6977853
68	Indukti	216de703-21b9-4396-a01f-7927a754c4a7
69	Korpiklaani	50eec634-7c42-41ee-9b1f-b41d9ca28b26
71	Opeth	c14b4180-dc87-481e-b17a-64e4150f90f6
72	John Petrucci	556e6577-24b9-49df-944b-242c9c32bf08
73	Joe Satriani	29762c82-bb92-4acd-b1fb-09cc4da250d2
74	Genesis	c5725831-2596-48f1-8f1c-ebe237362860
75	Van Halen	b665b768-0d83-4363-950c-31ed39317c15
77	Stevie Ray Vaughan and Double Trouble	e3c8b0c8-3fa0-464b-b1f5-119cb52d3817
78	Gazpacho	e3fdde77-2ddb-43fd-bf09-883529b1bbb1
79	Oasis	ecf9f3a3-35e9-4c58-acaa-e707fba45060
82	Myslovitz	fccef2c8-22a7-419e-bd6b-c40fc8f46068
84	Roxette	d3b2711f-2baa-441a-be95-14945ca7e6ea
85	Black Sabbath	5182c1d9-c7d2-4dad-afa0-ccfeada921a8
86	The Hives	487bfd74-71bf-46dd-b89c-80b7a0f06f2f
88	The Pineapple Thief	e8f55abb-a6d5-4e5f-81b4-14f9cc320519
